id	time	电需求	热需求	泛能机产电量	泛能机产热量	泛能机消耗燃气量	补燃锅炉产热量	补燃锅炉消耗燃气量	泛能机电效率	泛能机热效率	补燃锅炉热效率	市电	市热	光伏消耗	光伏存储	光伏产电量	光热消耗	光热存储	光热产热量	储电量	储热量
3379	05/20 18	4.30 	0.60 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	4.27 	0.00 	0.03 	0.00 	0.03 	0.17 	0	0.17 	0.00 	6.57 
3380	05/20 19	3.27 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.27 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	4.50 
3381	05/20 20	3.11 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.11 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	2.44 
3382	05/20 21	2.65 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	2.65 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.38 
3383	05/20 22	1.71 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.71 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.38 
3384	05/20 23	0.23 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.23 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.38 
3385	05/21 00	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.38 
3386	05/21 01	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.38 
3387	05/21 02	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.38 
3388	05/21 03	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.38 
3389	05/21 04	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.04 	0.00 	0.03 	0.00 	0.03 	0.00 	0.158359258	0.16 	0.00 	0.53 
3390	05/21 05	1.20 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.99 	0.00 	0.21 	0.00 	0.21 	1.02 	0.006729483	1.03 	0.00 	0.54 
3391	05/21 06	1.83 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.65 	0.00 	0.17 	0.00 	0.17 	0.86 	0	0.86 	0.00 	0.38 
3392	05/21 07	1.20 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.56 	0.00 	0.64 	0.00 	0.64 	1.02 	2.170720532	3.19 	0.00 	2.53 
3393	05/21 08	0.37 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.02 	0.00 	0.36 	0.00 	0.36 	0.00 	1.78036485	1.78 	0.00 	4.29 
3394	05/21 09	0.53 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.10 	0.00 	0.43 	0.00 	0.43 	0.00 	2.157770883	2.16 	0.00 	6.43 
3395	05/21 10	0.53 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.53 	0.63 	1.16 	0.00 	5.783643316	5.78 	0.61 	7.00 
3396	05/21 11	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.50 	0.00 	0.50 	0.00 	2.496764064	2.50 	0.26 	7.00 
